conditionTrigger | Schufo-history3
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | Шуфо
mainText | СА и КПГ гневно реагировали на то, что они расценивали как усилившийся сговор между «Рейхсбаннером» и государством. «Роте Фане» утверждала, что берлинская полиция и «Рейхсбаннер» вместе сформировали «войска социал-демократии для гражданской войны», которые поднимут оружие против рабочих в случае революции. Нацистский «Ангрифф» также описывал «шуфо» как способ подготовки СДПГ к гражданской войне, но его статьи были более саркастичны, так как в них намекалось, что эти «крепкие парни» ничто иное как инструмент партийных «бонз» СДПГ, которые не могут смириться с результатами недавних выборов в рейхстаг. Геббельсовские редакторы проницательно сфокусировались на неясных отношениях между государством и этим новым милитаризированным «Рейхсбаннером». В прессе кишели слухи о том, что «Рейхсбаннер» проводит регулярные учения совместно с полицией, а некоторые даже заявляли, что члены «шуфо» уже содействуют полиции в её ежедневной службе.
quotationAuthor | 
pictureName | Das Reichsbanner steht marschfertig.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Schufo
