conditionTrigger | Schupo-Attentat-Zeugenaussage-2-continue
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Честь тому, кто заслуживает чести, но синие «зеленые» были очень любезны, они сразу сказали ему: – Тебя мы уже давно знаем. И тогда они, как настоящие джентльмены, пригласили его занять место в их машине. Так как он человек с миролюбивым характером, он попросил поучаствовать в этой маленькой поездке и молодого господина в коричневой рубашке. Тем не менее, они не сделали это, зато они затолкнули его и Пауля в машину, и потом еще примерно двадцать полицейских залезли в нее, и один офицер, все здоровые парни, на две головы выше его. И потом мы поехали с печальным взглядом на кабачок, в котором не осталось уже ни одного целого стула или стакана. Пауль, однако, не хотел успокоиться. Товарищи, говорил он, это ведь несправедливо... – Заткнись, – сказал полицейский рядом с ним, мы не твои товарищи, и я сказал: – Пауль, брось это, ты же не знаешь этих господ, не нужно так сразу настолько сближаться с ними. – Вам нужно держать ваши грязные пасти на замке, – сказал полицейский рядом со мной, и я подал Паулю знак, чтобы он молчал, потому что я-то знал этих господ. В участке их обыскали во второй раз, и он сразу же полностью разделся и нагнулся, чтобы показать, что у него нет пушки в заднице. Так как он хоть тоже внебрачный ребенок, то он, все же, очень хорошо знает, что подобает утонченным людям. Тогда Пауль, несмотря на все знаки, которые он ему подавал, снова начал скандалить. Они вдесятером напали на него. Они пришли из соседних кабинетов и вытащили Пауля из его угла, и потом принялись бить его резиновыми дубинками и портупейными ремнями. Да здравствует Либкнехт, закричал Пауль, потом он уже лежал на земле, и вокруг него эти парни, и дубасили его, пока он не начал плевать кровью...
quotationAuthor | Эрнст фон Заломон «Город»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Schupo-Attentat-Zeugenaussage-2-final
