conditionTrigger | Schupo-Attentat-Zeugenaussage
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Мужчина, который выступал теперь, был типом поседевшего достойного трудящегося, заведующий кассами рабочего мужского хорового кружка, машинист локомотива, уже один год как сокращенный с работы, вдовец, в черном, длинном пиджаке. Он не мог согласиться со всем, что говорил предыдущий оратор, и он должен подчеркнуть, что он не коммунист, он не член партии. Если он заявил о своей готовности говорить здесь, то это происходит из дружеского долга. Так как он не может допустить, что в мире теперь безнаказанно происходят ситуации вроде той, жертвой которой пал его друг. Пять лет он ежедневно ездил на одном и том же паровозе со своим кочегаром, и он знал его как верного, усердного, трудолюбивого и спокойного человека, с которым он стал даже другом, и на которого он всегда мог положиться в том, что он всегда сделает то, что положено. И после того, как его самого сократили, кочегар тоже часто приходил к нему, и когда однажды кочегар был бессрочно уволен с железной дороги, из-за недопустимой пропаганды, он по-прежнему доверял ему и даже принял его у себя. Потом у них было совместное домашнее хозяйство, как раз напротив биржи труда. Ежедневно кочегар бегал на биржу труда, чтобы спросить, не появилась ли свободное место работы, но каждый раз его уговаривали подождать. Это правда, что кочегар часто спорил с другими, кто стоял там внизу в очереди, но он был спокойным человеком, и даже всегда оправдывал чиновников, которые тоже не могли ничего делать, кроме как только выполнять свой долг, когда, в такой ужасной ситуации, все стали настолько нервными, и повсюду предъявлялось так много необходимых претензий...
quotationAuthor | Эрнст фон Заломон «Город»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Schupo-Attentat-Zeugenaussage-3-continue
