conditionTrigger | Schupo-Attentat-Zeugenaussage-3-continue
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | И в тот день, когда безработные проникли в учреждение, кочегар тоже отговаривал их от этого, подходил к ним наверху и говорил, что это было бы большой глупостью просто разгромить все, и что это никому не принесло бы пользу, он часто также говорил там наверху с одним мужчиной, с которым он познакомился там внизу. Генрих, брось дружить с этим человеком, говорил я ему, я не доверяю ему по его лицу, но Генрих думал, что это был настоящий товарищ с хорошими представлениями, который уважал рабочих, и с который можно было свободно говорить. В тот день, однако, выяснилось, чего на самом деле этот друг стоил. Это был как раз тот человек, который подстрекал других, чтобы они, наконец, перешли от слов к делу. Когда Генрих был наверху, он сказал, теперь я должен спуститься вниз и поговорить с тем мужчиной, так дело не пойдет, и он снова пошел вниз. Но там все было уже в полном разгаре. Они пели «Интернационал» и разбили окна, и я из моего окна мог точно все видеть. Мой кочегар не принимал участие, он искал того человека, но тот внезапно исчез. Когда потом прибыла полиция, этот мужчина также внезапно появился снова, и поговорил с офицером, и они сразу арестовали Генриха. Я сразу побежал вниз, чтобы помочь Генриху, но когда я подошел к офицеру и начал ему все объяснять, он просто повернулся и ушел. Они затем привели Генриха к машине. Но тут и другие выбежали из здания биржи труда, а полиция всегда бежала за ними, и так как они видели, как арестовали Генриха, то они подбирали камни и бросали их в полицию, а потом штурмовали машину...
quotationAuthor | Эрнст фон Заломон «Город»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Schupo-Attentat-Zeugenaussage-3-final
