conditionTrigger | Schupo-Attentat-Zeugenaussage-4-final
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Слава Богу, подумала я и хотела уже подниматься по лестнице, как там пару раз раздались хлопки, и мальчик вбегает в подъезд и кричит: быстрей, быстрей, и я вовсе не знала, что мне делать, там они кричали снаружи: здесь, здесь, и потом они стреляли прямо в подъезд, все время в подъезд, все время в подъезд. И так как дверь захлопнулась, я ничего не видела и кричала, Отто, Отто, и ничего не слышала, так как постоянно были выстрелы, очень страшно, и тогда они открыли дверь, и там лежал мой мальчик. Там лежал мой мальчик.@@@Весь зал сидел, нагнувшись вперед. Обвинитель подошел к женщине. Нашли ли они у мальчика револьвер, спросил он. Женщина медлила, и обвинитель сказал, что она должна знать, что партия отвергает индивидуальный террор. Женщина сказала, что она не знает ничего, кроме того, что её деверь, который пришел позже, все время говорил полицейским, что из этого оружия не стреляли, его пружина уже была сломана. И офицер сказал, что тот совсем не может об этом судить, и что оружие конфисковано. Знает ли она, кто был этот офицер? Старший лейтенант Свиные щеки, закричал один голос в зале, и один человек поднялся. Это я тот деверь, крикнул мужчина, и обвинитель велел женщине садиться.
quotationAuthor | Эрнст фон Заломон «Город»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
