conditionTrigger | Schupo-Attentat-Zeugenaussage-1-continue
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Перед дверью уже стояла мебель. Внутри страшно кричала его жена и дети тоже. Женщина лежала в кровати. Нет, он зашел в квартиру только один, друзья ждали снаружи. Тогда полицейский подошел к кровати и сказал: он это знает, это все симуляция. Жена закричала еще сильнее. Полицейский тоже закричал, но больше к нему, чем к жене. Тут он выбежал и позвал людей снаружи, их уже была огромная толпа, да, также и те, которых он совсем не знал. И тогда они снова затащили назад всю мебель снова, и даже один из грузчиков помогал. Но это были не настоящие грузчики, а безработные. Теперь полицейский начал угрожать, и когда никто не обращал на него внимания, он побежал в трактир и по телефону вызвал подкрепление. Оно тут же приехало на машине. Да, там был и офицер. И они лупили резиновыми дубинками людей в квартире и на лестнице, и рассеяли толпу. Потом полицейские полностью освободили квартиру, все просто вынесли на улицу. И кровать тоже, вместе с его женой. Он побежал к офицеру и плакал, и офицер сказал ему, что с таким его поведением его можно будет обвинить также в сопротивлении властям и в подстрекательстве. Наконец, однако, приехала машина благотворительной организации, и женщину сразу нужно было отвезти в госпиталь. Спустя три дня она умерла. Обвинитель спросил, был ли голос в телефоне и голос офицера при выселении один и тот же? Да, это был тот же голос. Не знал ли он еще, кто был этот офицер? Да, знал, один из коллег говорил, что это был  старший лейтенант Свиные щеки, ответил свидетель и обвинитель велел ему садиться…
quotationAuthor | Эрнст фон Заломон «Город»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
