conditionTrigger | Schupo-Attentat-Zeugenaussage
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Это был молодой парень, коренастый и смуглый, красивый, как сказала женщина рядом с Иве, и он приветствовал всех не словом «товарищи», а громким «Рот фронт!». Ему было 22 года, и у него никогда еще в его жизни не было постоянной работы. Он не оставлял обвинителю времени для вопросов и сам рассказал свою историю, как будто бы он уже часто рассказывал ее, живо и украшая ее сочными замечаниями. Во время забастовки рабочих металлообрабатывающей промышленности он был в Сименсштадте, естественно, просто так, чистого случайно, так как забастовочные пикеты были запрещены, и он принципиально не делал ничего запрещенного. Когда я туда пришел, я не поверил своим глазам, все синее. Почему это сегодня синий понедельник, он очень по-дружески спросил одного из полицейских. – Убирайтесь отсюда. Он не знал, что гулять тоже запрещено, не может ли господин полицейский сказать, как ему лучше проводить свое время? – Если вы немедленно не уберетесь… Тогда он пошел в один кабачок, чтобы от страха немного выпить. Вся каморка была битком набита, но никто не хотел выставить по кружечке на брата. Его приятель Пауль тоже был там, и он сказал ему, что тут есть несколько коллег, у которых положение обстояло еще не так дерьмово. Итак, он встал и спросил, правда ли, что тот или другой из дорогих присутствующих, возможно, стал предателем рабочих? Ой, ой, тут он правильно наступил на любимую мозоль, попал прямо в «яблочко». – Это красный, – закричал один в коричневой рубашке, и все разбушевалось. Я за стойкой, Пауль побежал к раковине для мытья посуды и стойке для посуды – и спустя пять минут один побежал, чтобы привести «зеленых», и скоро там собралась вся радуга...
quotationAuthor | Эрнст фон Заломон «Город»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Schupo-Attentat-Zeugenaussage-2-continue
